Name,Column Index,Count
﻿UNITID,0,7804
OPEID,1,7804
opeid6,2,7804
INSTNM,3,7804
CITY,4,7804
STABBR,5,7804
ZIP,6,7804
AccredAgency,7,5752
INSTURL,8,7719
NPCURL,9,7213
HCM2,11,7804
main,12,7804
NUMBRANCH,13,7804
PREDDEG,14,7804
HIGHDEG,15,7804
CONTROL,16,7804
st_fips,17,7804
region,18,7804
LOCALE,19,7380
LATITUDE,21,7019
LONGITUDE,22,7019
CCBASIC,23,4355
CCUGPROF,24,3559
CCSIZSET,25,3576
HBCU,26,7383
PBI,27,7383
ANNHI,28,7383
TRIBAL,29,7383
AANAPII,30,7383
HSI,31,7383
NANTI,32,7383
MENONLY,33,7383
WOMENONLY,34,7383
RELAFFIL,35,917
ADM_RATE,36,2220
ADM_RATE_ALL,37,2484
SATVR25,38,1301
SATVR75,39,1301
SATMT25,40,1315
SATMT75,41,1315
SATWR25,42,793
SATWR75,43,793
SATVRMID,44,1301
SATMTMID,45,1315
SATWRMID,46,793
ACTCM25,47,1342
ACTCM75,48,1342
ACTEN25,49,1165
ACTEN75,50,1165
ACTMT25,51,1166
ACTMT75,52,1166
ACTWR25,53,300
ACTWR75,54,300
ACTCMMID,55,1342
ACTENMID,56,1165
ACTMTMID,57,1166
ACTWRMID,58,300
SAT_AVG,59,1420
SAT_AVG_ALL,60,1531
PCIP01,61,7086
PCIP03,62,7086
PCIP04,63,7086
PCIP05,64,7086
PCIP09,65,7086
PCIP10,66,7086
PCIP11,67,7086
PCIP12,68,7086
PCIP13,69,7086
PCIP14,70,7086
PCIP15,71,7086
PCIP16,72,7086
PCIP19,73,7086
PCIP22,74,7086
PCIP23,75,7086
PCIP24,76,7086
PCIP25,77,7086
PCIP26,78,7086
PCIP27,79,7086
PCIP29,80,7086
PCIP30,81,7086
PCIP31,82,7086
PCIP38,83,7086
PCIP39,84,7086
PCIP40,85,7086
PCIP41,86,7086
PCIP42,87,7086
PCIP43,88,7086
PCIP44,89,7086
PCIP45,90,7086
PCIP46,91,7086
PCIP47,92,7086
PCIP48,93,7086
PCIP49,94,7086
PCIP50,95,7086
PCIP51,96,7086
PCIP52,97,7086
PCIP54,98,7086
CIP01CERT1,99,7383
CIP01CERT2,100,7383
CIP01ASSOC,101,7383
CIP01CERT4,102,7383
CIP01BACHL,103,7383
CIP03CERT1,104,7383
CIP03CERT2,105,7383
CIP03ASSOC,106,7383
CIP03CERT4,107,7383
CIP03BACHL,108,7383
CIP04CERT1,109,7383
CIP04CERT2,110,7383
CIP04ASSOC,111,7383
CIP04CERT4,112,7383
CIP04BACHL,113,7383
CIP05CERT1,114,7383
CIP05CERT2,115,7383
CIP05ASSOC,116,7383
CIP05CERT4,117,7383
CIP05BACHL,118,7383
CIP09CERT1,119,7383
CIP09CERT2,120,7383
CIP09ASSOC,121,7383
CIP09CERT4,122,7383
CIP09BACHL,123,7383
CIP10CERT1,124,7383
CIP10CERT2,125,7383
CIP10ASSOC,126,7383
CIP10CERT4,127,7383
CIP10BACHL,128,7383
CIP11CERT1,129,7383
CIP11CERT2,130,7383
CIP11ASSOC,131,7383
CIP11CERT4,132,7383
CIP11BACHL,133,7383
CIP12CERT1,134,7383
CIP12CERT2,135,7383
CIP12ASSOC,136,7383
CIP12CERT4,137,7383
CIP12BACHL,138,7383
CIP13CERT1,139,7383
CIP13CERT2,140,7383
CIP13ASSOC,141,7383
CIP13CERT4,142,7383
CIP13BACHL,143,7383
CIP14CERT1,144,7383
CIP14CERT2,145,7383
CIP14ASSOC,146,7383
CIP14CERT4,147,7383
CIP14BACHL,148,7383
CIP15CERT1,149,7383
CIP15CERT2,150,7383
CIP15ASSOC,151,7383
CIP15CERT4,152,7383
CIP15BACHL,153,7383
CIP16CERT1,154,7383
CIP16CERT2,155,7383
CIP16ASSOC,156,7383
CIP16CERT4,157,7383
CIP16BACHL,158,7383
CIP19CERT1,159,7383
CIP19CERT2,160,7383
CIP19ASSOC,161,7383
CIP19CERT4,162,7383
CIP19BACHL,163,7383
CIP22CERT1,164,7383
CIP22CERT2,165,7383
CIP22ASSOC,166,7383
CIP22CERT4,167,7383
CIP22BACHL,168,7383
CIP23CERT1,169,7383
CIP23CERT2,170,7383
CIP23ASSOC,171,7383
CIP23CERT4,172,7383
CIP23BACHL,173,7383
CIP24CERT1,174,7383
CIP24CERT2,175,7383
CIP24ASSOC,176,7383
CIP24CERT4,177,7383
CIP24BACHL,178,7383
CIP25CERT1,179,7383
CIP25CERT2,180,7383
CIP25ASSOC,181,7383
CIP25CERT4,182,7383
CIP25BACHL,183,7383
CIP26CERT1,184,7383
CIP26CERT2,185,7383
CIP26ASSOC,186,7383
CIP26CERT4,187,7383
CIP26BACHL,188,7383
CIP27CERT1,189,7383
CIP27CERT2,190,7383
CIP27ASSOC,191,7383
CIP27CERT4,192,7383
CIP27BACHL,193,7383
CIP29CERT1,194,7383
CIP29CERT2,195,7383
CIP29ASSOC,196,7383
CIP29CERT4,197,7383
CIP29BACHL,198,7383
CIP30CERT1,199,7383
CIP30CERT2,200,7383
CIP30ASSOC,201,7383
CIP30CERT4,202,7383
CIP30BACHL,203,7383
CIP31CERT1,204,7383
CIP31CERT2,205,7383
CIP31ASSOC,206,7383
CIP31CERT4,207,7383
CIP31BACHL,208,7383
CIP38CERT1,209,7383
CIP38CERT2,210,7383
CIP38ASSOC,211,7383
CIP38CERT4,212,7383
CIP38BACHL,213,7383
CIP39CERT1,214,7383
CIP39CERT2,215,7383
CIP39ASSOC,216,7383
CIP39CERT4,217,7383
CIP39BACHL,218,7383
CIP40CERT1,219,7383
CIP40CERT2,220,7383
CIP40ASSOC,221,7383
CIP40CERT4,222,7383
CIP40BACHL,223,7383
CIP41CERT1,224,7383
CIP41CERT2,225,7383
CIP41ASSOC,226,7383
CIP41CERT4,227,7383
CIP41BACHL,228,7383
CIP42CERT1,229,7383
CIP42CERT2,230,7383
CIP42ASSOC,231,7383
CIP42CERT4,232,7383
CIP42BACHL,233,7383
CIP43CERT1,234,7383
CIP43CERT2,235,7383
CIP43ASSOC,236,7383
CIP43CERT4,237,7383
CIP43BACHL,238,7383
CIP44CERT1,239,7383
CIP44CERT2,240,7383
CIP44ASSOC,241,7383
CIP44CERT4,242,7383
CIP44BACHL,243,7383
CIP45CERT1,244,7383
CIP45CERT2,245,7383
CIP45ASSOC,246,7383
CIP45CERT4,247,7383
CIP45BACHL,248,7383
CIP46CERT1,249,7383
CIP46CERT2,250,7383
CIP46ASSOC,251,7383
CIP46CERT4,252,7383
CIP46BACHL,253,7383
CIP47CERT1,254,7383
CIP47CERT2,255,7383
CIP47ASSOC,256,7383
CIP47CERT4,257,7383
CIP47BACHL,258,7383
CIP48CERT1,259,7383
CIP48CERT2,260,7383
CIP48ASSOC,261,7383
CIP48CERT4,262,7383
CIP48BACHL,263,7383
CIP49CERT1,264,7383
CIP49CERT2,265,7383
CIP49ASSOC,266,7383
CIP49CERT4,267,7383
CIP49BACHL,268,7383
CIP50CERT1,269,7383
CIP50CERT2,270,7383
CIP50ASSOC,271,7383
CIP50CERT4,272,7383
CIP50BACHL,273,7383
